Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
FJ890523.1,Aichi virus 1,Chshc7,Aichivirus A,Kobuvirus,China,Homo sapiens,2008
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,1998
DQ028632.1,Aichi virus 1,Goiania/GO/03/01/Brazil,Aichivirus A,Kobuvirus,Brazil,Homo sapiens,2006
NC_074775.1,Aichi virus 1,,Aichivirus A,Kobuvirus,Japan,Cell culture,2001
OQ363763.1,Aichivirus A,GX/B45M0208/2019,Aichivirus A,Kobuvirus,China,Rhizomys pruinosus,2019
MN116647.1,Aichivirus A,,Aichivirus A,Kobuvirus,Hungary,Rattus norvegicus,2018
OQ121963.1,aichivirus A1,hu/C8_Seoul_02/2019,Aichivirus A,Kobuvirus,South Korea,Homo sapiens,2019
OP255993.1,aichivirus A1,,Aichivirus A,Kobuvirus,Netherlands,Homo sapiens,2018
JF755427.1,aichivirus A3,,Aichivirus A,Kobuvirus,USA,Peromyscus crinitus,2010
KF831027.1,aichivirus A4,,Aichivirus A,Kobuvirus,South Korea,Feliformia,2011
KJ934637.1,aichivirus A5,,Aichivirus A,Kobuvirus,Hungary,Coracias garrulus,2011
OP805598.1,Aichivirus B,Bovine_59254_11/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,2021
OP805597.1,Aichivirus B,Bovine_59254_2/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,2021
OP805596.1,Aichivirus B,Calf 300917/2021,Aichivirus B,Kobuvirus,Italy,Bovidae,2021
NC_004421.1,Aichivirus B,,Aichivirus B,Kobuvirus,Japan,Bos taurus,2002
GU245693.2,aichivirus B3,,Aichivirus B,Kobuvirus,Hungary,Ovis aries,2009
EU787450.2,aichivirus C1,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,2007
KF793927.1,aichivirus C2,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,2012
OP776111.1,Aichivirus D,BKV/Yak/XZNQX7/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OP776109.1,Aichivirus D,BKV/Yak/SCDF77/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OP776110.1,Aichivirus D,BKV/Yak/QHHN16/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OQ267712.1,Aichivirus D,BKV/cow/NXC1/2021/CHN,Aichivirus D,Kobuvirus,China,Bos taurus,2021
OP094599.1,Bamboo rat kobuvirus,B45M02,Bamboo rat kobuvirus,Kobuvirus,China,Rhizomys pruinosus,2019
ON168740.1,Bovine kobuvirus,BKV12/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON168741.1,Bovine kobuvirus,BKV13/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON168742.1,Bovine kobuvirus,BKV14/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON075051.1,Bovine kobuvirus,BKV2/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON075056.1,Bovine kobuvirus,BKV8/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
KY407744.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,Egypt,Bos taurus,2014
OK019998.1,Bovine kobuvirus,HNLD2019,Aichivirus B,Kobuvirus,China,Bos taurus,2019
ON075050.1,Bovine kobuvirus,BKV1/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON168739.1,Bovine kobuvirus,BKV11/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
MW605074.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,Canada,Bos taurus,2021
ON075055.1,Bovine kobuvirus,BKV7/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
MN336260.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,USA,Bos taurus,2019
ON075054.1,Bovine kobuvirus,BKV6/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON168737.1,Bovine kobuvirus,BKV9/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON168738.1,Bovine kobuvirus,BKV10/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON075052.1,Bovine kobuvirus,BKV3/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
MZ603734.1,Bovine kobuvirus,BKoV/CN/HB-SJZ/2021,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON730709.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,China,Bos taurus,2021
ON075053.1,Bovine kobuvirus,BKV4/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,2021
OP093966.1,Canine kobuvirus,PK02,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,2019
OP093968.1,Canine kobuvirus,PK04,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,2019
KC161964.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,United Kingdom,Canis lupus familiaris,2008
OP093967.1,Canine kobuvirus,PK01,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,2019
NC_034971.1,Canine kobuvirus,SMCD-59,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,2015
MN449341.1,Canine kobuvirus,CaKoV AH-1/CHN/2019,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,2019
MH747478.1,Canine kobuvirus,26,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,2016
MN337880.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,Germany,Vulpes vulpes,2016
KF924623.1,Canine kobuvirus,12D049,Canine kobuvirus,Kobuvirus,South Korea,Canis lupus familiaris,2012
KM068048.1,Canine kobuvirus 1,DD2,Aichivirus A,Kobuvirus,Tanzania,Canis lupus familiaris,2003
KM068049.1,Canine kobuvirus 1,82,Aichivirus A,Kobuvirus,Tanzania,Canis adustus,2010
KM068050.1,Canine kobuvirus 1,75,Aichivirus A,Kobuvirus,Tanzania,Canis aureus,2011
KM068051.1,Canine kobuvirus 1,B103,Aichivirus A,Kobuvirus,Tanzania,Crocuta crocuta,2010
JQ911763.1,Canine kobuvirus CH-1,,Aichivirus A,Kobuvirus,China,Canis lupus familiaris,2011
JN088541.1,Canine kobuvirus US-PC0082,,Aichivirus A,Kobuvirus,USA,Canis lupus familiaris,2010
OP920760.1,Capreolus pygargus kobuvirus,CpKoV/XK/CHN/2021,Capreolus pygargus kobuvirus,Kobuvirus,China,Capreolus pygargus,2021
MT584793.1,Caprine kobuvirus,CKoV-China/SWUN/F11/2019,Aichivirus C,Kobuvirus,China,Capra hircus,2019
MN604700.1,Caprine kobuvirus,MN1/2018,Aichivirus C,Kobuvirus,USA,Capra hircus,2017
OR682616.1,Caprine kobuvirus,Caprine/SWUN/F1/2022,Aichivirus C,Kobuvirus,China,Capra hircus,2022
OR682617.1,Caprine kobuvirus,Caprine/SWUN/F2/2022,Aichivirus C,Kobuvirus,China,Capra hircus,2022
OQ808805.1,Caprine kobuvirus,CKoV-China/GCCDC14/2019,Aichivirus C,Kobuvirus,China,Capra hircus,2019
NC_023422.1,Caprine kobuvirus,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,2012
OP376931.1,Caprine kobuvirus,CKoV-China/SWUN/B12/2022,Aichivirus C,Kobuvirus,China,Capra hircus,2021
OP287812.1,Eidolon dupreanum kobuvirus,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,2018
ON595851.1,Feline kobuvirus,FPV-4,Aichivirus A,Kobuvirus,Australia,Felis catus,2017
ON595850.1,Feline kobuvirus,FPV-3,Aichivirus A,Kobuvirus,Australia,Felis catus,2017
LC721036.1,Feline kobuvirus,Y-1,Aichivirus A,Kobuvirus,Japan,Felis catus,2019
MF598159.1,Feline kobuvirus,,Aichivirus A,Kobuvirus,China,Felis catus,2017
ON595848.1,Feline kobuvirus,FPV-1,Aichivirus A,Kobuvirus,Australia,Felis catus,2017
ON595852.1,Feline kobuvirus,FPV-9,Aichivirus A,Kobuvirus,Australia,Felis catus,2017
KM091960.1,Feline kobuvirus,,Aichivirus A,Kobuvirus,Italy,Felis catus,2013
ON595849.1,Feline kobuvirus,FPV-2,Aichivirus A,Kobuvirus,Australia,Felis catus,2017
MK671314.1,Feline kobuvirus,FKV/18CC0503,Aichivirus A,Kobuvirus,China,Felis catus,2018
MK671315.1,Feline kobuvirus,FKV/18CC0718,Aichivirus A,Kobuvirus,China,Felis catus,2018
KJ958930.1,Feline kobuvirus,12D240,Aichivirus A,Kobuvirus,South Korea,Feliformia,2012
NC_027919.1,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,2014
NC_027918.1,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,2015
GU292559.1,Kobuvirus pig/JY-2010a/CHN,Y-1-CHI,Aichivirus C,Kobuvirus,China,Sus scrofa,2010
MT766372.1,Kobuvirus sp.,CHN/XJ/env/2018/ht8-ctg1,Kobuvirus sp.,Kobuvirus,China,Wastewater,2018
OQ758029.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Hungary,Capra hircus,2020
OM140655.1,Marmot kobuvirus,,Marmot kobuvirus,Kobuvirus,China,Marmota caudata,2016
KY855436.1,Marmot kobuvirus,,Marmot kobuvirus,Kobuvirus,China,Marmota himalayana,2013
NC_015936.1,Mouse kobuvirus M-5/USA/2010,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,USA,Peromyscus crinitus,2010
MW296158.1,Ovine kobuvirus,SKoV-China/SWUN/AB18/2019,Ovine kobuvirus,Kobuvirus,China,Ovis aries,2019
MN807751.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa domesticus,2013
LT898428.1,Porcine kobuvirus,PKV/GER/L00919-K17_14-02/2014,Aichivirus C,Kobuvirus,Germany,Sus scrofa,2014
LC210621.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Japan,Sus scrofa,2014
MT211964.1,Porcine kobuvirus,EdoMex/2018/205,Aichivirus C,Kobuvirus,Mexico,Sus scrofa,2018
KY234500.1,Porcine kobuvirus,JXJC2015,Aichivirus C,Kobuvirus,China,Sus scrofa,2015
KF695124.1,Porcine kobuvirus,ch-kobu/2008/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2008
NC_027054.1,Porcine kobuvirus,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2014
KC424639.1,Porcine kobuvirus,GS-1/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
KC424640.1,Porcine kobuvirus,GS-2/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
JX401523.1,Porcine kobuvirus,CH/HNXX-4/2012,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
KY234499.1,Porcine kobuvirus,JXAT2015,Aichivirus C,Kobuvirus,China,Sus scrofa,2015
KJ452348.1,Porcine kobuvirus,CH/DX/2012,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
OK315318.1,Porcine kobuvirus,Wuhan2020,Aichivirus C,Kobuvirus,China,Sus scrofa,2020
KM051987.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,China,Sus scrofa,2014
MT125683.1,Porcine kobuvirus,swine/JX-2/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2013
KC204684.1,Porcine kobuvirus,XX,Aichivirus C,Kobuvirus,China,Sus scrofa,2011
KF539763.1,Porcine kobuvirus,swKoV CH441,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
MT125682.1,Porcine kobuvirus,swine/JX-1/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2013
MF506730.1,Porcine kobuvirus,OH/RV11/2011,Aichivirus C,Kobuvirus,USA,Sus scrofa,2011
KM977675.1,Porcine kobuvirus,OH/RV50/2011,Aichivirus C,Kobuvirus,USA,Sus scrofa,2011
OQ595081.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Croatia,Sus scrofa,2017
OM274027.1,Porcine kobuvirus,AH-49,Aichivirus C,Kobuvirus,China,Sus scrofa,2019
OM274026.1,Porcine kobuvirus,AH-42,Aichivirus C,Kobuvirus,China,Sus scrofa,2018
OM274025.1,Porcine kobuvirus,AH-32,Aichivirus C,Kobuvirus,China,Sus scrofa,2020
MZ334483.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Germany,Sus scrofa,2018
KC414936.1,Porcine kobuvirus,K-11/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
KC424638.1,Porcine kobuvirus,K-4/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,2012
JX177612.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,2011
ON792975.1,Porcine kobuvirus,SP-VC4,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
ON792976.1,Porcine kobuvirus,SP-VC18,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
ON792977.1,Porcine kobuvirus,SP-VC36,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962320.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962321.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962322.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962323.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962324.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962325.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2018
MK962326.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962327.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962328.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962329.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962330.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962331.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962332.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962333.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962334.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962335.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
MK962336.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,2017
JQ692069.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,China,Sus scrofa,2011
MT125685.1,Porcine kobuvirus,swine/HBYT/2018/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2018
MT125684.1,Porcine kobuvirus,swine/JX-3/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2013
OM274028.1,Porcine kobuvirus,AH-75,Aichivirus C,Kobuvirus,China,Sus scrofa,2020
ON007233.1,Porcine kobuvirus,XJ1904-34-PKV,Aichivirus C,Kobuvirus,China,Sus scrofa,2019
KP144318.1,Porcine kobuvirus JS-01-CHN/2013/China,,Aichivirus C,Kobuvirus,China,Sus scrofa domesticus,2013
NC_016769.1,Porcine kobuvirus SH-W-CHN/2010/China,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2010
JN630514.1,Porcine kobuvirus SH-W-CHN/2010/China,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,China,Sus scrofa,2010
GQ249161.1,Porcine kobuvirus swine/K-30-HUN/2008/HUN,swine/K-30-HUN/2008/HUN,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,2008
NC_011829.1,Porcine kobuvirus swine/S-1-HUN/2007/Hungary,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,2007
NC_026314.1,rabbit kobuvirus,Berlin/Jan2011/0572,Aichivirus E,Kobuvirus,Germany,Rattus norvegicus,2011
KT325852.1,Rabbit picornavirus,,Aichivirus E,Kobuvirus,Hungary,Oryctolagus cuniculus,2013
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,1981
OQ818322,Eidolon dupreanum kobuvirus,KEL318,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,2019
PP766456,Eidolon dupreanum kobuvirus,KEL86,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,2014